full_awb_number,customer_id,zoho_cust_id,zoho_deal_id
SD389898112TE,9565,zcrm_212174000029760107,zcrm_212174000029751410
H00N3A0028664770,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028665099,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028664910,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898109TE,4895,zcrm_212174000009224859,zcrm_212174000009224865
H00N3A0028665102,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665114,7111,zcrm_212174000018953117,zcrm_212174000018958109
1.00E+12,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665126,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665138,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665190,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665203,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028664934,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665253,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665417,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665291,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028665796,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665520,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028665722,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028666039,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028666368,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028666522,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028667271,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028667409,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028667358,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028667574,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898090TE,10165,zcrm_212174000034318122,zcrm_212174000034296113
SD389898086TE,10165,zcrm_212174000034318122,zcrm_212174000034296113
SD389898072TE,10165,zcrm_212174000034318122,zcrm_212174000034296113
H00N3A0028668475,7111,zcrm_212174000018953117,zcrm_212174000018958109
LK082547201FR,4426,zcrm_212174000007824482,zcrm_212174000008771891
H00N3A0028668867,7111,zcrm_212174000018953117,zcrm_212174000018958109
LK082547250FR,4426,zcrm_212174000007824482,zcrm_212174000008771891
H00N3A0028671408,10125,zcrm_212174000034318085,zcrm_212174000034296076
H00N3A0028671129,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028671662,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028671991,9819,zcrm_212174000031239106,zcrm_212174000031247073
LK082547294FR,4426,zcrm_212174000007824482,zcrm_212174000008771891
H00N3A0028672246,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898069TE,8568,zcrm_212174000024503423,zcrm_212174000024496492
H00N3A0028685217,7401,zcrm_212174000020561203,zcrm_212174000020560030
SD389898055TE,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028685483,7401,zcrm_212174000020561203,zcrm_212174000020560030
SD389898041TE,9987,zcrm_212174000032533168,zcrm_212174000032532115
H00N3A0028686497,7401,zcrm_212174000020561203,zcrm_212174000020560030
H00N3A0028686360,7401,zcrm_212174000020561203,zcrm_212174000020560030
SD389898038TE,1177,zcrm_212174000007817966,zcrm_212174000008755818
H00N3A0028687437,2539,zcrm_212174000007820762,zcrm_212174000008762778
SD389898024TE,6319,zcrm_212174000015321119,zcrm_212174000015300109
H00N3A0028689265,9819,zcrm_212174000031239106,zcrm_212174000031247073
UY203500363FR,623,zcrm_212174000022919382,zcrm_212174000008752880
UY203500377FR,623,zcrm_212174000022919382,zcrm_212174000008752880
H00N3A0028689429,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028689431,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028689594,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028689619,7111,zcrm_212174000018953117,zcrm_212174000018958109
H00N3A0028689354,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028689710,9819,zcrm_212174000031239106,zcrm_212174000031247073
SD389898007TE,7899,zcrm_212174000021803733,zcrm_212174000021796391
SD389897987TE,7899,zcrm_212174000021803733,zcrm_212174000021796391
H00N3A0028689784,9819,zcrm_212174000031239106,zcrm_212174000031247073
H00N3A0028689912,9819,zcrm_212174000031239106,zcrm_212174000031247073
LK082548312FR,6659,zcrm_212174000016998389,zcrm_212174000016988667
LK082548343FR,8393,zcrm_212174000023587225,zcrm_212174000023580721
1.00E+12,8300,zcrm_212174000023140228,zcrm_212174000023133074
LK082548374FR,3185,zcrm_212174000007822019,zcrm_212174000008765830
SD389897973TE,9302,zcrm_212174000028904561,zcrm_212174000028895843
SD389897960TE,491,zcrm_212174000007815676,zcrm_212174000008752750
